location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,闇から現れるシミ男,黑暗中出现的斑痕男,,,gallery_00000_0000001d,,
,遁走,逃走,,,gallery_00000_0000001e,,
,目覚めだした蜂,苏醒的蜜蜂,,,gallery_00000_0000001f,,
,養蜂,养蜂,,,gallery_00000_00000020,,
,第２章　森のシミ男,第２章　森林斑痕男,,,gallery_00000_00000021,,
,第２章　森のシミ男　完,第２章　森林斑痕男　完,,,gallery_00000_00000022,,
,腕の中のメリイ,怀中的梅莉,,,gallery_00000_00000023,,
,噂の電話ボックス　１,传闻中的电话亭　１,,,gallery_00000_00000024,,
,噂の電話ボックス　２,传闻中的电话亭　２,,,gallery_00000_00000025,,
,長谷川聖子の記事,关于长谷川圣子的报道,,,gallery_00000_00000026,,
,樹海を彷徨う犬,在树海徘徊的狗,,,gallery_00000_00000027,,
,怨嗟がこもった写真,充满怨恨的照片,,,gallery_00000_00000028,,
,掘り起こされた遺骸,挖出的遗骸,,,gallery_00000_00000029,,
,くちゃら花嫁の訪問　１,咀嚼新娘来访　１,,,gallery_00000_0000002a,,
,くちゃら花嫁の訪問　2,咀嚼新娘来访　２,,,gallery_00000_0000002b,,
,復讐の呪詛　くちゃら花嫁　１,复仇的诅咒　咀嚼新娘　１,,,gallery_00000_0000002c,,
,復讐の呪詛　くちゃら花嫁　２,复仇的诅咒　咀嚼新娘　２,,,gallery_00000_0000002d,,
,第３章　くちゃら花嫁,第３章　咀嚼新娘,,,gallery_00000_0000002e,,
,第３章　くちゃら花嫁　完,第３章　咀嚼新娘　完,,,gallery_00000_0000002f,,
,壊れたメリイと死んだ兎,坏掉的梅莉和死去的兔子,,,gallery_00000_00000030,,
,疑念の写真,令人疑惑的照片,,,gallery_00000_00000031,,
,廊下に蠢く蛇,走廊上蠕动的蛇,,,gallery_00000_00000032,,
,蛇の住処　１,蛇的居所　１,,,gallery_00000_00000033,,
,蛇の住処　２,蛇的居所　２,,,gallery_00000_00000034,,
,ホルマリン漬けの人体,浸在福尔马林中的人体,,,gallery_00000_00000035,,
,分割された警備員　１,被分尸的警卫　１,,,gallery_00000_00000036,,
,分割された警備員　２,被分尸的警卫　２,,,gallery_00000_00000037,,
,裸体に群がる蛇,裸体与蛇群,,,gallery_00000_00000038,,
,落第生への一喝,对不及格考生的一声厉喝,,,gallery_00000_00000039,,
,復讐の呪詛　ずう先生,复仇的诅咒　Zoo老师,,,gallery_00000_0000003a,,
,第４章　ずう先生,第４章　Zoo老师,,,gallery_00000_0000003b,,
,第４章　ずう先生　完,第４章　Zoo老师　完,,,gallery_00000_0000003c,,
,箱の中の首塚,箱中的头坟,,,gallery_00000_0000003d,,
,狂気と囁き,疯狂与低语,,,gallery_00000_0000003e,,
,神がかりの軍医,着魔的军医,,,gallery_00000_0000003f,,
,封じられた箱の中身,被封印的箱中之物,,,gallery_00000_00000040,,
,念持仏　穢れ,念持佛　污秽,,,gallery_00000_00000041,,
,念持仏　浄化,念持佛　净化,,,gallery_00000_00000042,,
,迫りくる祟り人形　１,逼近的诅咒人偶　１,,,gallery_00000_00000043,,
,迫りくる祟り人形　２,逼近的诅咒人偶　２,,,gallery_00000_00000044,,
,迫りくる祟り人形　３,逼近的诅咒人偶　３,,,gallery_00000_00000045,,
,迫りくる祟り人形　４,逼近的诅咒人偶　４,,,gallery_00000_00000046,,
,待ち望んだ晩餐,期待已久的晚餐,,,gallery_00000_00000047,,
,弔い,祭奠,,,gallery_00000_00000048,,
,九条家新当主の記事,关于九条家新家主的报道,,,gallery_00000_00000049,,
,封印,封印,,,gallery_00000_0000004a,,
,第５章　観音兵,第５章　观音兵,,,gallery_00000_0000004b,,
,第５章　観音兵　完,第５章　观音兵　完,,,gallery_00000_0000004c,,
,雨夜に佇む少女の噂,站在雨夜中的少女的传闻,,,gallery_00000_0000004d,,
,喫煙所での雨宿り　１,在吸烟处避雨　１,,,gallery_00000_0000004e,,
,喫煙所での雨宿り　２,在吸烟处避雨　２,,,gallery_00000_0000004f,,
,愛憎の結末,爱恨的终局,,,gallery_00000_00000050,,
,妖艶な錯乱,妖艳迷乱,,,gallery_00000_00000051,,
,壊れた制御盤　１,坏掉的配电盘　１,,,gallery_00000_00000052,,
,壊れた制御盤　２,坏掉的配电盘　２,,,gallery_00000_00000053,,
,醜悪な繭玉　１,丑恶的丝茧　１,,,gallery_00000_00000054,,
,醜悪な繭玉　２,丑恶的丝茧　２,,,gallery_00000_00000055,,
,毒を滴らせる蜘蛛,滴着毒液的蜘蛛,,,gallery_00000_00000056,,
,蜘蛛審判　１,蜘蛛审判　１,,,gallery_00000_00000057,,
,蜘蛛審判　２,蜘蛛审判　２,,,gallery_00000_00000058,,
,猛り狂う翔,狂暴的翔,,,gallery_00000_00000059,,
,窮地を救う腕,救人于危急的手臂,,,gallery_00000_0000005a,,
,路傍の亡骸,路旁的亡骸,,,gallery_00000_0000005b,,
,第６章　雨の赤ずきん,第６章　雨中的小红帽,,,gallery_00000_0000005c,,
,第６章　雨の赤ずきん　完,第６章　雨中的小红帽　完,,,gallery_00000_0000005d,,
,教室コンセプトアート,教室概念图,,,gallery_00000_0000005e,,
,樹海コンセプトアート,树海概念图,,,gallery_00000_0000005f,,
,神社コンセプトアート,神社概念图,,,gallery_00000_00000060,,
,地下壕コンセプトアート,防空洞概念图,,,gallery_00000_00000061,,
,花彦くんイメージアート,花彦君印象图,,,gallery_00000_00000062,,
,森のシミ男イメージアート,森林斑痕男印象图,,,gallery_00000_00000063,,
,怪異イメージアート,怪异印象图,,,gallery_00000_00000064,,
,全滅イメージアート,全灭印象图,,,gallery_00000_00000065,,
,パッケージイラスト　１,封面插画　１,,,gallery_00000_00000066,,
,パッケージイラスト　２,封面插画　２,,,gallery_00000_00000067,,
