location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,"主人公の名前を決めてください。
（最大５文字まで）","请决定主人公的名字。
（最多5个字）",,,exe_00000_00000050,,
,名前は@1r@y4@0rでよろしいですか？,确认要使用@1r@y4@0r作为名字吗？,,,exe_00000_00000051,,
,印人がいないため、同行者の選択は行えません。,当前身边没有印人，无法选择同行人员。,,,exe_00000_00000052,,
,同行者を決めてください,请选择同行人员,,,exe_00000_00000053,,
,苗字を入力してください。,请输入主人公的姓氏,,,exe_00000_00000054,,
,使用できない文字が入力されています。,输入中存在无法使用的文字。,,,exe_00000_00000055,,
,既に%sを同行しています。,%s已经在同行队伍中。,,,exe_00000_00000056,,
,"この見た目でよろしいですか？
（ゲームの途中で変更はできません）","确认要使用这个外观吗？
（无法在游戏中途修改）",,,exe_00000_00000057,,
,主人公の見た目を決めてください,请选择主人公的外貌。,,,exe_00000_00000058,,
,%s を同行者にしますか？,要选择%s作为同行人员吗？,,,exe_00000_00000059,,
,眼鏡,眼镜,,,exe_00000_0000005a,,
,このセーブデータをロードしますか？,确认要读取这个存档数据吗？,,,exe_00000_0000005b,,
,眼鏡・髭,眼镜・胡须,,,exe_00000_0000005c,,
,髭,胡须,,,exe_00000_0000005d,,
,"画面の解像度を設定します
（現在設定できません）","可通过本选项设置画面分辨率
（当前无法设置）",,,exe_00000_0000005e,,
,ウィンドウモードを変更します,可通过本选项更改窗口模式,,,exe_00000_0000005f,,
,ゲームを終了しますか？,确认要结束游戏吗？,,,exe_00000_00000060,,
,画面の解像度を設定します,可通过本选项设置分辨率,,,exe_00000_00000061,,
,"コントローラ（ゲームパッド）用の
ボタンアジャスト機能です","本功能是针对游戏控制器（游戏手柄）的
按钮调整功能。",,,exe_00000_00000062,,
,"コントローラ（ゲームパッド）用の
ボタンアジャスト機能です
（現在使用できません）","本功能是针对游戏控制器（游戏手柄）的
按钮调整功能。（当前无法使用）",,,exe_00000_00000063,,
,"ウィンドウモードを変更します
（現在設定できません）","可通过本选项更改窗口模式
（当前无法设置）",,,exe_00000_00000064,,
,"入力デバイスによる操作の確認と
変更ができます","可通过本选项确认和更改
输入设备的输入模式。",,,exe_00000_00000065,,
,ボーダーレスウィンドウ,无边框,,,exe_00000_00000066,,
,デフォルト,默认,,,exe_00000_00000067,,
,ウィンドウモード,窗口模式,,,exe_00000_00000068,,
,フルスクリーンモード,全屏模式,,,exe_00000_00000069,,
,"操作パターンをType-Bで上書きしますか？
（適用しないと保存されません）","确认要将操作模式改为类型B吗？
（不选择应用的话不会保存更改）",,,exe_00000_0000006a,,
,"この設定で操作を行いますか？
（決定すると環境設定画面に戻ります）","确认要应用当前设置吗？
（确认后将返回选项设置界面）",,,exe_00000_0000006b,,
,カスタム,自定义,,,exe_00000_0000006c,,
,"操作パターンをType-Aで上書きしますか？
（適用しないと保存されません）","确认要将操作模式改为类型A吗？
（不选择应用的话不会保存更改）",,,exe_00000_0000006d,,
,Type-Aの設定です。　決定ボタンを押してください,当前为类型A模式，请按下确定按钮。,,,exe_00000_0000006e,,
,Type-Bの設定です。　決定ボタンを押してください,当前为类型B模式，请按下确定按钮。,,,exe_00000_0000006f,,
,"操作状態を初期設定に戻しますか？
（適用しないと保存されません）","要将操作模式恢复到初始状态吗？
（不选择应用的话不会保存更改）",,,exe_00000_00000070,,
,"操作状態を保存しないまま戻りますか？
（決定すると環境設定画面に戻ります）","确认要在未保存操作模式的情况下返回吗？
（決定すると環境設定画面に戻ります）",,,exe_00000_00000071,,
,EndOfMsgTbl,EndOfMsgTbl,,,exe_00000_00000072,,
,Begin turn?,Begin turn?,,,exe_00000_00000073,,
,この操作にしたいボタンを操作してください,请按下你要设置的按键,,,exe_00000_00000074,,
,変更したい操作を選択してください,请选择按下你要更改的按键,,,exe_00000_00000075,,
